Song ID,Artist,Title,Album,Year,Date,Raw Lyrics
173,Adele,I Drink Wine,30 (Target Exclusive),2021,2021-11-19,"How can one become so bounded by choices that somebody else makes?
How come we've both become a version of a person we don't even like?
We're in love with the world, but the world just wants to bring us down
By puttin' ideas in our heads that corrupt our hearts somehow
When I was a child, every single thing could blow my mind
Soaking it all up for fun, but now I only soak up wine
They say to play hard, you work hard, find balance in the sacrifice
And yet I don't know anybody who's truly satisfied

You better believe I'm tryin' (Tryin', tryin')
To keep climbin' (Climbin', climbin')
But the higher we climb feels like we're both none the wiser

So I hope I learn to get over myself
Stop tryin' to be somebody else
So we can love each other for free
Everybody wants somethin', you just want me

Why am I obsessin' about the things I can't control?
Why am I seekin' approval from people I don't even know?
In these crazy times, I hope to find somethin' I can cling on to
'Cause I need some substance in my life, somethin' real, somethin' that feels true
You better believe for you, I've cried (I've cried, I've cried)
High tides (High tides, high tides)
'Cause I want you so bad, but you can't fight fire with fire, oh

So I hope I learn to get over myself
Stop tryin' to be somebody else
Oh, I just want to love you, love you for free
Everybody wants somethin' from me, you just want me

Listen, I know how low I can go, I give as good as I get
You get the brunt of it all 'cause you're all I've got left
Oh, I hope in time (Hope in time)
We both will find (We both find) peace of mind
Sometimes, the road less travelled is a road best left behind

Well, I hope I learn to get over myself
Stop tryin' to be somebody else
Oh, I just want to love you, love you for free, yeah
'Cause everybody wants somethin' from me, you just want me

You better believe I'm tryin' (Tryin', tryin')
To keep climbin' (Climbin', climbin')
But the higher we climb, feels like we're both none the wiser
The only regret I have
I wish that it was just at a different time
A most turbulent period of my life
Why would I put that on you?
That's just, like, a very heavy thing to have to talk about
But because of that period of time
Even though it was so much fun
I didn't get to go on and make new memories with him
There were just memories in a big storm10Embed"
174,Adele,Hold On,30 (Target Exclusive),2021,2021-11-19,"Hold on
You are still strong
Love will soon come
Just hold, hold on

Oh, what have I done yet again?
Have I not learned anything?
I don't want to live in chaos
It's like a ride that I want to get off
It's hard to hold on to who I am
When I'm stumblin' in the dark for a hand
I am so tired of battling with myself, with no chance to win

(Hold on)
Let time be patient
(You are still strong)
Let pain be gracious
(Love will soon come)
Just hold, hold on

I swear to God, I am such a mess
The harder that I try, I regress
I'm my own worst enemy
Right now, I truly hate bein' me
Every day feels like the road I'm on
Might just open up and swallow me whole
How do I feel so mighty small
When I'm struggling to feel at all?
Just hold on (Hold on)
Let time be patient
You are still strong (You are still strong)
Let pain be gracious (Love will soon come)
Just hold on (You, just hold on, you, just hold on)
Hold on (You, just hold on, just hold on)

Sometimes loneliness is the only rest we get
(Just hold on, just hold on)
And the emptiness actually lets us forget
(Just hold on, just hold on)
Sometimes forgiveness is easiest in secret
(Just hold on, just hold on, just hold on, just hold on)

So just hold on, ooh
Let time be patient and (You are still strong)
Let pain be gracious
Love will soon come, baby
If you just hold on

Hold on, hold on, hold on, hold on (Hold on)
Just let time be patient
'Cause you're still strong, you're still strong (You are still strong)
Just be gracious
Love will soon come
If you just hold on
(You, just hold on, you, just hold on, you, just hold on)
Just be patient, just be patient
(You, just hold on, you, just just hold on)
(You, just hold on, just hold on, just hold on)5Embed"
175,Adele,Million Years Ago,25 ,2015,2015-11-20,"
I only wanted to have fun
Learning to fly, learning to run
I let my heart decide the way
When I was young
Deep down, I must have always known
That this would be inevitable
To earn my stripes, I'd have to pay
And bare my soul

I know I'm not the only one
Who regrets the things they've done
Sometimes, I just feel it's only me
Who can't stand the reflection that they see
I wish I could live a little more
Look up to the sky, not just the floor
I feel like my life is flashing by
And all I can do is watch and cry
I miss the air, I miss my friends
I miss my mother, I miss it when
Life was a party to be thrown
But that was a million years ago
When I walk around all of the streets
Where I grew up and found my feet
They can't look me in the eye
It's like they're scared of me
I try to think of things to say
Like a joke or a memory
But they don't recognize me now
In the light of day

I know I'm not the only one
Who regrets the things they've done
Sometimes, I just feel it's only me
Who never became who they thought they'd be
I wish I could live a little more
Look up to the sky, not just the floor
I feel like my life is flashing by
And all I can do is watch and cry
I miss the air, I miss my friends
I miss my mother, I miss it when
Life was a party to be thrown
But that was a million years ago

A million years ago31Embed"
176,Adele,Oh My God,30 (Target Exclusive),2021,2021-11-19,"I ain't got too much time to spare
But I'll make time for you to show how much I care
Wish that I would let you break my walls
But I'm still spinning out of control from the fall
Boy, you give good love, I won't lie
It's what keeps me comin' back even though I'm terrified

I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah
I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah

Oh, my God, I can't believe it
Out of all the people in the world
What is the likelihood of jumping
Out of my life and into your arms?
Maybe, baby, I'm just losing my mind
'Cause this is trouble, but it feels right
Teetering on the edge of Heaven and Hell
Is a battle that I cannot fight
I'm a fool, but they all think I'm blind
I'd rather be a fool than leave myself behind
I don't have to explain myself to you
I am a grown woman and I do what I want to do

I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah
I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah

Oh, my God, I can't believe it
Out of all the people in the world
What is the likelihood of jumping
Out of my life and into your arms?
Maybe, baby, I'm just losing my mind
'Cause this is trouble, but it feels right
Teetering on the edge of Heaven and Hell
Is a battle that I cannot fight

""Lord, don't let me,"" I said, ""Lord, don't let me""
I said, ""Lord, don't let me, let me down"" (Oh, Lord)
""Lord, don't let me,"" I said, ""Lord, don't let me""
I said, ""Lord, don't let me, let me down"" (Don't let me let myself down)
""Lord, don't let me,"" I said, ""Lord, don't let me""
I said, ""Lord, don't let me, let me down"" (Oh, my God)
""Lord, don't let me,"" I said, ""Lord, don't let me""
I said, ""Lord, don't let me, let me down"" (Oh, oh-oh-oh, oh-oh-oh)
Oh, my God, I can't believe it
Out of all the people in the world
What is the likelihood of jumping
Out of my life and into your arms?
Maybe, baby, I'm just losing my mind
'Cause this is trouble, but it feels right
Teetering on the edge of Heaven and Hell
When it's a battle that I cannot fight

""Lord, don't let me,"" I said, ""Lord, don't let me""
I said, ""Lord, don't let me, let me down"" (I know that it's wrong, but I want to have fun)
""Lord, don't let me,"" I said, ""Lord, don't let me""
I said, ""Lord, don't let me, let me down"" (Mmm, yeah, mmm, yeah)
""Lord, don't let me,"" I said, ""Lord, don't let me""
I said, ""Lord, don't let me, let me down"" (I know that it's wrong, but I want to have fun)
""Lord, don't let me,"" I said, ""Lord, don't let me""
I said, ""Lord, don't let me, let me down"" (Mmm, yeah, mmm, yeah)10Embed"
177,Adele,Love in the Dark,25 ,2015,2015-11-20,"Take your eyes off of me so I can leave
I'm far too ashamed to do it with you watching me
This is never ending, we have been here before
But I can't stay this time 'cause I don't love you anymore

Please stay where you are, don't come any closer
Don't try to change my mind, I'm being cruel to be kind

I can't love you in the dark
It feels like we're oceans apart
There is so much space between us
Baby, we're already defeated
Ah-yeah-yeah-yeah-yeah-yeah-yeah-yeah, everything changed me

You have given me something that I can't live without
You mustn't underestimate that when you are in doubt
But I don't want to carry on like everything is fine
The longer we ignore it all, the more that we will fight

Please don't fall apart, I can't face your breaking heart
I'm trying to be brave, stop asking me to stay
I can't love you in the dark
It feels like we're oceans apart
There is so much space between us
Baby, we're already defeated
Ah-yeah-yeah-yeah-yeah-yeah-yeah-yeah, everything changed me

We're not the only ones
I don't regret a thing
Every word I've said
You know I'll always mean
It is the world to me
That you are in my life
But I want to live and not just survive


That's why I can't love you in the dark
It feels like we're oceans apart
There is so much space between us
Baby, we're already defeated
'Cause ah-yeah-yeah-yeah-yeah-yeah, everything changed me
And I-I-I-I-I don't think you can save me16Embed"
178,Adele,Turning Tables,21 + Instrumentals (CDr Promo),2011,2011-01-24,"Close enough to start a war
All that I have is on the floor
God only knows what we're fighting for
All that I say, you always say more

I can't keep up with your turning tables
Under your thumb, I can't breathe

So I won't let you close enough to hurt me
No, I won't rescue you to just desert me
I can't give you the heart you think you gave me
It's time to say goodbye to turning tables
To turning tables

Under haunted skies, I see you, ooh
Where love is lost, your ghost is found
I braved a hundred storms to leave you
As hard as you try, no, I will never be knocked down

I can't keep up with your turning tables
Under your thumb, I can't breathe
So I won't let you close enough to hurt me
No, I won't rescue you to just desert me
I can't give you the heart you think you gave me
It's time to say goodbye to turning tables
Turning tables

Next time, I'll be braver
I'll be my own saviour
When the thunder calls for me
Next time, I'll be braver
I'll be my own saviour
Standing on my own two feet

I won't let you close enough to hurt me
No, I won't rescue you to just desert me
I can't give you the heart you think you gave me
It's time to say goodbye to turning tables
To turning tables

Turning tables, yeah
Turn, no, no-oh, mmm45Embed"
179,Adele,I Miss You,25 ,2015,2015-11-20,"I want every single piece of you
I want your heaven and your oceans too
Treat me soft but touch me cruel
I wanna teach you things you never knew, baby
Bring the floor up to my knees
Let me fall into your gravity
Then kiss me back to life to see
Your body standing over me

Baby, don't let the lights go down
Baby, don't let the lights go down
Baby, don't let the lights go down
Lights go down, lights go down
Lights go down, lights go down
Down, down, down

I miss you when the lights go out
It illuminates all of my doubts
Pull me in, hold me tight, don't let go
Baby, give me light
I miss you when the lights go out
It illuminates all of my doubts
Pull me in, hold me tight, don't let go
Baby, give me light
I love the way your body moves
Towards me from across the room
Brushing past my every groove
No one has me like you do, baby
Bring your heart, I'll bring my soul
But be delicate with my ego
I wanna step into your great unknown
With you and me setting the tone

Baby, don't let the lights go down
Baby, don't let the lights go down
Baby, don't let the lights go down
Lights go down, lights go down
Lights go down, lights go down
Down, down, down

I miss you when the lights go out
It illuminates all of my doubts
Pull me in, hold me tight, don't let go
Baby, give me light
I miss you when the lights go out
It illuminates all of my doubts
Pull me in, hold me tight, don't let go
Baby, give me light
We play so dirty in the dark
'Cause we are living worlds apart
It only makes it harder, baby
It only makes it harder, baby
Harder baby, harder baby

I miss you when the lights go out
It illuminates all of my doubts
Pull me in, hold me tight, don't let go
Baby, give me light
I miss you when the lights go out
It illuminates all of my doubts
Pull me in, hold me tight, don't let go
Baby, give me light

I miss you, I miss you
I miss you, I miss you
I miss you, I miss you
I miss you, I miss you27Embed"
180,Adele,Strangers By Nature,30 (Target Exclusive),2021,2021-11-19,"I'll be taking flowers to the cemetery of my heart
For all of my lovers in the present and in the dark
Every anniversary, I'll pay respects and say I'm sorry
For they never stood a chance as if they could
When no one knows what it's like to be us

I've never seen the sky this colour before
It's like I'm noticin' everythin' a little bit more
Now that all the dust has settled
I rebut all my rebuttals
No one knows what it's like to be us

Strangers by nature
Strangers by nature

Will I ever get there?
Oh, I hope that someday I'll learn
To nurture what I've done

Ooh-ooh, ooh
Ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-ooh
Alright then, I'm ready10Embed"
181,Adele,Remedy,25 ,2015,2015-11-20,"I remember all of the things that I thought I wanted to be
So desperate to find a way out of my world and finally breathe
Right before my eyes I saw my heart, it came to life
This ain't easy, it's not meant to be, every story has its scars

But when the pain cuts you deep
When the night keeps you from sleeping
Just look and you will see that I will be your remedy
When the world seems so cruel
And your heart makes you feel like a fool
I promise you will see that I will be
I will be your remedy

No river is too wide or too deep for me to swim to you
Come whatever, I'll be the shelter that won't let the rain come through
Your love, it is my truth and I will always love you
Love you, oh

When the pain cuts you deep
When the night keeps you from sleeping
Just look and you will see that I will be your remedy
When the world seems so cruel
And your heart makes you feel like a fool
I promise you will see that I will be
I will be your remedy
Ohhh, ohhh
When the pain cuts you deep
When the night keeps you from sleeping
Just look and you will see that I will be, I will be
When the world seems so cruel
And your heart makes you feel like a fool
I promise you will see that I will be, I will be
I will be your remedy, mmm, mm-hmm19Embed"
182,Adele,Love Is A Game,30 (Target Exclusive),2021,2021-11-19,"All your expectations of my love are impossible
Surely, you know that I'm not easy to hold
It's so sad how incapable of learning to grow I am
My heart speaks in puzzle and codes
I've been trying my whole life to solve
God only knows how I've cried
I can't take another defeat
A next time would be the ending of me
Now that I see

That love is a game for fools to play
And I ain't fooling (Fooling), what a cruel thing (Cruel thing)
To self-inflict that pain
Love is a game for fools to play
And I ain't fooling again (Fooling), what a cruel thing (Cruel thing)
To self-inflict that pain

How unbelievable (Unbelievable)
Of me to fall for the lies that I tell (Lies I tell)
The dream that I sell (Dream I sell)
When heartache, it's inevitable (It's inevitable)
But I'm no good at doing it well
Not that I care (I don't care)
Why should anything about it be fair?
When love is a game for fools to play
And I ain't fooling (Fooling), what a cruel thing (Cruel thing)
To self-inflict that pain
Love is a game for fools to play
And I ain't fooling again (Fooling), what a cruel thing (Cruel thing)
To self-inflict that pain

No amount of love
Can keep me satisfied (Satisfied, satisfied)
I can't keep up (Can't keep up, can't keep up)
When I keep changing my mind (Change my mind, change my mind)
The feelings flood me to the heights of no compromise

Love is a game for fools to play
And I ain't fooling (Fooling), what a cruel thing (Cruel thing)
To self-inflict that pain
Love is a game for fools to play
And I ain't fooling (Fooling), what a cruel thing (Cruel thing)
To self-inflict that pain

Oh, you know I'd do it all again
I love it now like I loved it then
I'm a fool for them
You know I'm, you know I'm gonna do it, oh
I'll do it all again like I did then7Embed"
183,Adele,Woman Like Me,30 (Target Exclusive),2021,2021-11-19,"You're driving me away, give me a reason to stay
I want to be lost in you, but not in this way
Don't think you quite understand who you have on your hands
How can you not see just how good for you I am?
I know that you've been hurt before
That's why you feel so insecure
I begged you to let me in 'cause I only want to be the cure
If you don't choose to grow, we ain't ever gonna know
Just how good this could be
I really hoped that this would go somewhere

Complacency is the worst trait to have, are you crazy?
You ain't never had, ain't never had a woman like me
It is so sad a man like you could be so lazy
Consistency is the gift to give for free and it is key
To ever keep, to ever keep a woman like me

All you do is complain about decisions you make
How can I help lift you if you refuse to activate the life that you truly want?
I know it's hard, but it's not
We come from the same place, but you will never give it up
It's where they make you feel powerful
That's why you think I make you feel small
But that's your projection, it's not my rejection
I put my heart on the line for the very first time
Because you asked me to and now you've gone and changed your mind
But lovin' you was a breakthrough
I saw what my heart can really do
Now some other man will get the love I had for you
'Cause you don't care, oh
Complacency is the worst trait to have, are you crazy?
You ain't never had, ain't never had a woman like me
It is so sad a man like you could be so lazy
Consistency is the gift to give for free and it is key
To ever keep, to ever keep a woman like me

A woman like me (One more time)
Complacency (Woman like me), is the worst trait to have (Woman like me)
Are you crazy? (Woman like me)
You ain't never had, ain't never had a woman like me (Woman like me)
It is so sad a man like you could be so lazy (Woman like me)
Consistency (Woman like me), is the gift to give for free and it is key4Embed"
184,Adele,Cry Your Heart Out,30 (Target Exclusive),2021,2021-11-19,"Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace
Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace

When I walk in a room, I'm invisible, I feel like a ghost
All my friends keep on tellin' me that this feeling won't last, mmm
I can't get no relief, I'm so tired of myself, I swear I'm dead in the eyes
I have nothin' to feel no more, I can't even cry

When will I begin to feel like me again?
I'm hanging by a thread
My skin's paper-thin, I can't stop wavering
I've never been more scared

Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace
Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace

When I wake up, I'm afraid of the idea of facin' the day
I would rather stay home on my own, drink it all away
Please stop callin' me, it's exhausting, there's really nothin' left to say
I created this storm, it's only fair I have to sit in its rain
When will I begin to feel like me again?
I'm hanging by a thread
My skin's paper-thin, I can't stop wavering
I've never been more scared

Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace
Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace

(Ooh, ooh-ooh-ooh)
(Ooh, ooh-ooh-ooh)
All love is devout, no feeling is a waste
But give it to yourself now before it's too late
In the end, it's just you, stop drowning in wait
Your love is useless without it

Cry your heart out (Cry, yeah), it'll clean your face
When you're in doubt, go at your own pace4Embed"
185,Adele,One and Only,21 + Instrumentals (CDr Promo),2011,2011-01-24,"You've been on my mind
I grow fonder every day
Lose myself in time
Just thinking of your face
God only knows
Why it's taken me so long
To let my doubts go
You're the only one that I want

I don't know why I'm scared
I've been here before
Every feeling, every word
I've imagined it all
You'll never know if you never try
To forgive your past and simply be mine

I dare you to let me be your
Your one and only
Promise I'm worthy
To hold in your arms
So come on and give me the chance
To prove I am the one who can
Walk that mile
Until the end starts
Have I been on your mind?
You hang on every word I say
Lose yourself in time
At the mention of my name?
Will I ever know
How it feels to hold you close?
And have you tell me
Whichever road I choose, you'll go

I don't know why I'm scared
'Cause I've been here before
Every feeling, every word
I've imagined it all
You'll never know if you never try
To forgive your past and simply be mine

I dare you to let me be your
Your one and only
I promise I'm worthy, mmm
To hold in your arms
So come on and give me the chance
To prove I am the one who can
Walk that mile
Until the end starts
I know it ain't easy giving up your heart
I know it ain't easy giving up your heart
(Nobody's perfect, trust me I've learned it) I know it ain't easy giving up your heart
(Nobody's perfect, trust me I've learned it) I know it ain't easy giving up your heart
(Nobody's perfect, trust me I've learned it) I know it ain't easy giving up your heart
(Nobody's perfect, trust me I've learned it) I know it ain't easy giving up your heart

So, I dare you to let me be your
Your one and only
I promise I'm worthy
To hold in your arms
So come on and give me the chance
To prove I am the one who can
Walk that mile
Until the end starts

Come on and give me the chance
To prove I am the one who can
Walk that mile
Until the end starts47Embed"
186,Adele,Rumour Has It,21 + Instrumentals (CDr Promo),2011,2011-01-24,"Ooh, ooh, ooh, ooh

She, she ain't real
She ain't gon' be able to love you like I will
She is a stranger
You and I have history, or don't you remember?
Sure, she's got it all
But baby, is that really what you want?

Bless your soul, you've got your head in the clouds
She made a fool out of you and, boy, she's bringin' you down
She made your heart melt, but you're cold to the core
Now rumour has it, she ain't got your love anymore

Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
She is half your age
But I'm guessin' that's the reason that you strayed
I heard you've been missin' me
You've been tellin' people things you shouldn't be
Like when we creep out when she ain't around
Haven't you heard the rumours? (Bless your soul)

Bless your soul, you've got your head in the clouds
You made a fool out of me and, boy, you're bringin' me down
You made my heart melt, yet I'm cold to the core
But rumour has it, I'm the one you're leaving her for

Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)

All of these words whispered in my ear
Tell a story that I cannot bear to hear
Just 'cause I said it, it don't mean that I meant it
People say crazy things
Just 'cause I said it, don't mean that I meant it
Just 'cause you heard it
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour, rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it (Rumour)
Rumour has it

But rumour has it, he's the one I'm leaving you for27Embed"
187,Adele,Don't You Remember,21 + Instrumentals (CDr Promo),2011,2011-01-24,"When will I see you again?
You left with no goodbye, not a single word was said
No final kiss to seal any sins
I had no idea of the state we were in

I know I have a fickle heart and a bitterness
And a wandering eye, and a heaviness in my head

But don't you remember?
Don't you remember?
The reason you loved me before
Baby, please remember me once more

When was the last time that you thought of me?
Or have you completely erased me from your memory?
I often think about where I went wrong
The more I do, the less I know

But I know I have a fickle heart and a bitterness
And a wandering eye, and a heaviness in my head
But don't you remember?
Don't you remember?
The reason you loved me before
Baby, please remember me once more

Gave you the space so you could breathe
I kept my distance so you would be free
In hope that you'd find the missing piece
To bring you back to me

Why don't you remember?
Don't you remember?
The reason you loved me before
Baby, please remember me once more

When will I see you again?31Embed"
188,Adele,Can I Get It,30 (Target Exclusive),2021,2021-11-19,"Pave me a path to follow
And I'll tread any dangerous road
I will beg and I'll steal, I will borrow
If I can make, if I can make your heart my home
Throw me to the water
I don't care how deep or shallow
Because my heart can pound like thunder
And your love, and your love can set me free

Oh, I have promised I will love you 'til the end of time
Through it all, the good, the bad, the ugly, and divine
I will be the melody, the rhythm, and your rhyme
All I want is for you to be mine, mine

So can I get it right now? Mmm
Can I get it right now? (Can I get it here?)
Can I get it right now?
Can I get it right now?
Let me, let me just come and get it

Can I get it?
You tease me with your control
Because I long to live under your spell
And without your love, I'm hollow
I won't make it, I won't make it on my own

I have promised I will love you 'til the end of time (End of time)
Through it all, the good, the bad, the ugly and divine (So divine)
I will be the melody, the rhythm, and your rhyme (Mmm)
All I want is for you to be mine, mine

So can I get it right now? Mmm
Can I get it right now? (Can I get it here?)
Can I get it right now?
Can I get it right now?
Let me, let me just come and get it

Can I get it?

When will you run with me?
Like I know you wanna
(Like you want to, like you want)
You're the one for me
And I'm countin' on you (On you)
To put the pieces of me back together
So can I get it right now? Mmm
Can I get it right now? (Mmm)
Can I get it right now?
Can I get it right now?
Let me, let me just come and get it7Embed"
189,Adele,Hometown Glory,19,2007,2007-10-22,"I've been walking in the same way as I did
Missing out the cracks in the pavement
And tutting my heel and strutting my feet
""Is there anything I can do for you dear?""
""Is there anyone I could call?""
""No and thank you, please madame
I ain't lost, just wandering""

'Round my hometown
Memories are fresh
'Round my hometown
Ooh, the people I've met
Are the wonders of my world
Are the wonders of my world
Are the wonders of this world
Are the wonders now

I like it in the city
When the air is so thick and opaque
I love it to see everybody in short skirts, shorts and shades
I like it in the city when two worlds collide
You get the people and the government
Everybody taking different sides
Shows that we ain't gonna stand shit
Shows that we are united
Shows that we ain't gonna take it
Shows that we ain't gonna stand shit
Shows that we are united

'Round my hometown
Memories are fresh
'Round my hometown
Ooh, the people I've met, yeah

Doo-da-da-da-da-da-da-da-dah, yeah
Doo-da-da-da-da-da-da-da-dah, yeah
Doo-doo-doo-doo ooh-ooh yeah
Yeah, yeah-ey
Are the wonders of my world
Are the wonders of my world
Are the wonders of this world
Are the wonders of my world
Of my world
Yeah, of my world
Of my world, yeah25Embed"
190,Adele,All Night Parking,30 (Target Exclusive),2021,2021-11-19,"I know you've got things to do (I do, too)
I just wanna spend all my time with you (It feels so good)
I'm so hard to impress, don't leave me on this stretch alone
When I'm out at a party, I'm just excited to get home

And dream about you
All night long

I don't know how you got through to me (I'm so cold)
It's all happenin' so easily (Like, oh, my God)
It's so hard to digest, usually, I'm best alone
But every time that you text, I want to get on the next flight home

And dream next to you
All night long

Maybe it's the way you remind me of (Where I come from)
Or how you make me feel beautiful (And then some)
The sight of you is dramatic, one glimpse and I panic inside
I get lost in our hours 'cause you possess powers I can't fight
That's why I dream about you
All night long
All night long
All night6Embed"
191,Adele,River Lea,25 ,2015,2015-11-20,"Everybody tells me it's 'bout time that I moved on
That I need to learn to lighten up and learn how to be young
But my heart is a valley, it's so shallow and manmade
I'm scared to death if I let you in that you'll see I'm just a fake
Sometimes I feel lonely in the arms of your touch
But I know that's just me 'cause nothing ever is enough
When I was a child I grew up by the River Lea
There was something in the water, now that something's in me

Oh, I can't go back, but the reeds are growing out of my fingertips
I can't go back to the river

But, it's in my roots, in my veins
In my blood and I stain every heart that I use to heal the pain
Oh, it's in my roots, in my veins
In my blood and I stain every heart that I use to heal the pain
So, I blame it on the River Lea, the River Lea, the River Lea
Yeah, I blame it on the River Lea, the River Lea, the River Lea

I should probably tell you now before it's way too late
That I never meant to hurt you or lie straight to your face
Consider this my apology, I know it's years in advance
But, I would rather say it now in case I never get the chance
No, I can't go back, but the reeds are growing out of my fingertips
I can't go back to the river

But, it's in my roots, in my veins
In my blood and I stain every heart that I use to heal the pain
Oh, it's in my roots, in my veins
In my blood and I stain every heart that I use to heal the pain
So, I blame it on the River Lea, the River Lea, the River Lea
Yeah, I blame it on the River Lea, the River Lea, the River Lea
So, I blame it on the River Lea, the River Lea, the River Lea
Yeah, I blame it on the River Lea, the River Lea, the River Lea

River Lea, River Lea
River Lea
The River Lea-ea-ea
The River Lea-ea-ea
The River Lea-ea-ea12Embed"
192,Adele,Sweetest Devotion,25 ,2015,2015-11-20,"
With your loving, there ain't nothing that I can't adore
The way I'm running with you, honey
Means we can break every law
I find it funny that you're the only one I never looked for
There is something in your loving that tears down my walls

I wasn't ready then, I'm ready now
I'm heading straight for you
You will only be eternally
The one that I belong to

The sweetest devotion
Hit me like an explosion
All of my life, I've been frozen
The sweetest devotion I know

I'll forever be whatever you want me to be
I'll go under and all over for your clarity
When you wonder if I'm gonna lose my way home
Just remember, that come whatever, I'll be yours all along
I wasn't ready then, I'm ready now
I'm heading straight for you
You will only be eternally
The one that I belong to

The sweetest devotion
Hit me like an explosion
All of my life, I've been frozen
The sweetest devotion I know

I've been looking for you, baby
In every face that I've ever known
And there is something 'bout the way you love me
That finally feels like home
You're my light, you're my darkness
You're the right kind of madness
You're my hope, you're my despair
You're my scope of everything, everywhere

The sweetest devotion
Hit me like an explosion
All of my life, I've been frozen
The sweetest devotion I know
Sweetest, it's the sweetest
Sweetest, it's the sweetest
Sweetest, it's the sweetest
Sweetest, it's the sweetest devotion5Embed"
193,Adele,He Won't Go,21 + Instrumentals (CDr Promo),2011,2011-01-24,"Some say I'll be better without you
But they don't know you like I do
Or at least the sides I thought I knew
I can't bear this time
It drags on as I lose my mind
Reminded by things I find
Like notes and clothes you left behind
Wake me up, wake me up when all is done
I won't rise until this battle's won
My dignity's become undone

But I won't go
I can't do it on my own
If this ain't love, then what is?
I'm willing to take the risk
I won't go
I can't do it on my own
If this ain't love, then what is?
I'm willing to take the risk

So petrified, I'm so scared to step into this ride
What if I lose my heart and fail the climb?
I won't forgive me if I give up trying
I heard his voice today
I didn't know a single word he said
Not one resemblance to the man I met
Just a vague and broken boy instead
But I won't go
I can't do it on my own
If this ain't love, then what is?
I'm willing to take the risk
I won't go
I can't do it on my own
If this ain't love, then what is?
I, I'm willing to take the risk

There will be times we'll try and give it up
Bursting at the seams, no doubt
We'll almost fall apart then burn the pieces
To watch them turn to dust
But nothing will ever taint us

I won't go
I can't do it on my own
If this ain't love, then what is?
I'm willing to take the risk
I won't go
I can't do it on my own
If this ain't love, then what is?
I, I'm willing to take the risk
Will he, will he still remember me?
Will he still love me even when he's free?
Or will he go back to the place where he
Will choose the poison over me?
When we spoke yesterday
He said to hold my breath and sit and wait
""I'll be home so soon, I won't be late""

He won't go
He can't do it on his own
If this ain't love, then what is?
He's willing to take the risk
So I won't go
He can't do it on his own
If this ain't love, then what is?
I'm willing to take the risk
'Cause he won't go
He can't do it on his own
If this ain't love, then what is?
We're willing to take the risk
I won't go
I can't do it on my own
If this ain't love, then what is?
I'm willing to take the risk23Embed"
194,Adele,Lovesong,21 + Instrumentals (CDr Promo),2011,2011-01-24,"Whenever I'm alone with you
You make me feel like I am home again
Whenever I'm alone with you
You make me feel like I am whole again

Whenever I'm alone with you
You make me feel like I am young again
Whenever I'm alone with you
You make me feel like I am fun again

However far away, I will always love you
However long I stay, I will always love you
Whatever words I say, I will always love you
I will always love you

Whenever I'm alone with you
You make me feel like I am free again
Whenever I'm alone with you
You make me feel like I am clean again

However far away, I will always love you
However long I stay, I will always love you
Whatever words I say, I will always love you
I will always love you
However far away, I will always love you
However long I stay, I will always love you
Whatever words I say, I will always love you
I'll always love you
I'll always love you
'Cause I love you
Love, love24Embed"
